category,question,answer
審査,過去に滞納や延滞の履歴があるが相談できるか,過去に滞納歴・延滞歴がある方でもご相談いただけます。自社ローンは独自の基準で柔軟に判断するため、まずは無料相談でお話をお聞かせください。
審査,他社のローン審査に落ちたが申し込めるか,他社の審査に通らなかった方からのご相談も多くいただいています。あきらめる前に一度ご相談ください。
審査,頭金がなくても購入できるか,頭金がない場合のご相談も承っています。ご予算やご希望に合わせたプランをご提案しますので、お気軽にご相談ください。
審査,自己破産や債務整理の経験があるが大丈夫か,過去に債務整理等のご経験がある方でもご相談可能な場合があります。状況をお伺いした上で最適な方法をご案内します。
審査,ブラックリストに載っていても通るか,審査の合否は個別の状況により異なり、断定はできかねますが、信用情報に不安がある方のご相談も多数承っています。まずはご相談ください。
手続き,審査や契約の流れを知りたい,大まかな流れは「①LINE/電話で相談 → ②お車・プランのご提案 → ③お申し込み・必要書類のご案内 → ④審査 → ⑤ご契約・ご納車」です。詳細は担当スタッフがご案内します。
手続き,審査にかかる日数はどのくらいか,お申し込み状況により異なります。お急ぎの場合もできる限り迅速に対応しますので、具体的なご希望は担当スタッフへお伝えください。
手続き,必要な書類は何か,一般的には本人確認書類などが必要になりますが、お客様の状況により異なります。具体的な必要書類はご相談時に個別にご案内します。
手続き,来店せずに相談や契約はできるか,LINE・お電話でのご相談に対応しています。ご来店が難しい場合もまずはオンラインでお気軽にお問い合わせください。
車種,どんな車種を扱っているか,軽自動車・コンパクトカー・ミニバンなど幅広く取り扱っています。ご家族構成やご予算に合わせてお選びいただけますので、ご希望をお聞かせください。
車種,軽自動車はあるか,軽自動車も多数お取り扱いしています。維持費を抑えたい方にも人気です。ご希望の条件をお知らせください。
車種,ファミリー向けの広い車はあるか,ミニバンなどファミリー向けのお車もご用意しています。乗車人数やご予算に合わせてご提案します。
サービス,自社ローン以外のサービスはあるか,自社ローンのほか、信用回復ローン・お車の買取・自社リースを取り扱っています。ご希望に応じて最適な方法をご案内します。
サービス,車の買取もしてもらえるか,お車の買取も承っています。お乗り換えのご相談と合わせて、まずは査定からお気軽にどうぞ。
費用,金利や月々の支払いはいくらか,金利・月々のお支払い・総額は、お車やプラン・審査結果により異なるため、この場では確定的な金額をお伝えできません。具体的な条件は無料相談でご案内します。
費用,相談は無料か,ご相談は無料です。LINE・お電話で何度でもお気軽にお問い合わせいただけます。
対応,営業時間や定休日はいつか,営業時間・定休日の詳細は店舗にてご案内しています。お電話（050-1793-5554）またはLINEでお問い合わせください。
対応,対応エリアはどこまでか,対応エリアについては個別にご案内しています。お住まいの地域をお知らせいただければ、担当スタッフが確認のうえご返答します。
