name,type,seats,price_range,features
ワゴンR,軽自動車,4,40〜70万円目安,維持費が安く街乗り・通勤に最適な定番の軽
N-BOX,軽自動車,4,60〜100万円目安,室内が広くスライドドアで人気No.1クラスの軽
タント,軽自動車,4,60〜100万円目安,スライドドアで乗り降りしやすく子育て世帯に好評
ハスラー,軽SUV,4,70〜120万円目安,アウトドアにも映えるデザインの遊べる軽SUV
アクア,コンパクト,5,60〜110万円目安,低燃費のハイブリッドで燃料代を抑えたい方に
フィット,コンパクト,5,60〜120万円目安,扱いやすく荷室も広い実用的なコンパクト
ノート,コンパクト,5,70〜130万円目安,静かでよく走る低燃費の人気コンパクト
ヤリス,コンパクト,5,70〜130万円目安,小回りが利き燃費も良い運転しやすい一台
セレナ,ミニバン,8,90〜180万円目安,家族向けの広い3列シート。大人数やお出かけに
ヴォクシー,ミニバン,8,100〜200万円目安,使い勝手の良い人気ミニバン。家族のメイン車に
フリード,ミニバン,6,90〜170万円目安,扱いやすいサイズの3列ミニバン。普段使いに便利
ハリアー,SUV,5,150〜280万円目安,上質な内装で人気の都会派SUV
ヴェゼル,SUV,5,110〜200万円目安,コンパクトで扱いやすい街乗りSUV
プリウス,ハイブリッド,5,90〜180万円目安,低燃費の定番ハイブリッドセダン
